Lines,Lon,VehicleNumber,Time,Lat,Brigade
178,20.922274,4235,2024-01-25 09:07:14,52.196434,010
129,20.9393879,4236,2024-01-25 13:14:36,52.2459507,3
122,20.9855216,4237,2024-01-25 13:14:35,52.2806362,3
197,20.9308001,4238,2024-01-25 13:14:35,52.2250866,7
178,21.0040207,4239,2024-01-25 13:14:33,52.2553499,2
178,20.90711,4240,2024-01-25 13:14:35,52.190968,8
178,20.920572,4242,2024-01-25 12:55:00,52.196835,09
129,20.942551,4244,2024-01-25 13:14:36,52.237446,4
178,20.9818202,4246,2024-01-25 13:14:36,52.2298546,6
122,20.983011,4247,2024-01-25 13:14:34,52.282391,2
178,20.906235,4248,2024-01-25 13:14:33,52.189697,7
119,21.1191172,4300,2024-01-25 13:14:36,52.1995107,1
183,21.0870893,4301,2024-01-25 13:14:33,52.2445529,5
115,21.1439197,4302,2024-01-25 13:14:35,52.2375943,6
183,21.1525254,4303,2024-01-25 13:14:36,52.2532062,1
147,21.061152,4304,2024-01-25 13:14:36,52.2316574,3
183,21.098941,4306,2024-01-25 13:14:36,52.2431274,6
168,21.0295025,4307,2024-01-25 13:14:36,52.2085671,6
146,21.0697692,4308,2024-01-25 13:14:36,52.2462775,09
730,21.117206,4309,2024-01-25 09:33:14,52.234233,01
153,21.1170637,4310,2024-01-25 10:55:12,52.2342362,04
173,21.0845431,4311,2024-01-25 13:14:36,52.2503087,7
146,21.2046832,4312,2024-01-25 13:14:36,52.1595122,4
173,21.2079284,4313,2024-01-25 13:14:36,52.2472827,9
147,21.116958,4314,2024-01-25 12:18:24,52.234256,1
146,21.1232697,4315,2024-01-25 13:14:35,52.1914029,5
168,21.1171765,4316,2024-01-25 10:35:55,52.2342354,08
173,21.1016854,4317,2024-01-25 13:14:36,52.2423994,5
173,21.1365999,4318,2024-01-25 13:14:36,52.2410934,4
119,21.0184834,4319,2024-01-25 13:14:36,52.2129422,3
117,21.0051331,4320,2024-01-25 13:14:36,52.2296024,2
153,21.1603139,4321,2024-01-25 13:14:35,52.2605094,1
702,21.1176701,4322,2024-01-25 09:10:37,52.234135,03
173,21.2410177,4324,2024-01-25 13:14:36,52.2497409,3
183,21.1672366,4326,2024-01-25 13:14:36,52.2531147,3
115,21.2239716,4327,2024-01-25 13:14:36,52.1588304,1
147,21.1864582,4328,2024-01-25 13:14:36,52.2068754,2
225,21.1172189,4329,2024-01-25 09:53:10,52.2342417,04
129,20.8826336,4330,2024-01-25 13:14:36,52.1953727,1
207,20.894786,4331,2024-01-25 13:14:36,52.1999317,2
207,20.8902151,4332,2024-01-25 13:14:35,52.1825057,1
178,20.9581019,4333,2024-01-25 13:14:36,52.2230032,1
197,20.9759781,4335,2024-01-25 13:14:36,52.2905164,4
197,20.9500532,4336,2024-01-25 13:14:36,52.2707767,2
255,20.9503409,4337,2024-01-25 13:14:36,52.2263372,2
729,20.9138782,4338,2024-01-25 13:14:36,52.2376297,1
197,21.044878,4400,2024-01-25 10:46:47,52.264709,010
169,21.041944,4401,2024-01-25 13:14:34,52.271191,4
166,21.039911,4402,2024-01-25 13:14:34,52.196678,343
338,21.0270972,4403,2024-01-25 13:14:35,52.2600454,04
126,21.05707,4404,2024-01-25 13:14:35,52.301903,2
181,20.974712,4405,2024-01-25 13:14:34,52.279156,1
173,21.243376,4406,2024-01-25 13:14:36,52.224789,10
169,21.036421,4407,2024-01-25 13:14:36,52.293049,1
123,21.095873,4408,2024-01-25 13:14:36,52.243603,6
123,21.044697,4409,2024-01-25 10:11:46,52.26482,1
122,20.9690627,4410,2024-01-25 10:50:05,52.2696469,08
197,20.950191,4411,2024-01-25 13:14:36,52.270958,3
126,21.012415,4412,2024-01-25 13:14:35,52.31683,1
156,21.06452,4414,2024-01-25 13:14:32,52.261639,1
169,21.0418982,4415,2024-01-25 13:14:36,52.3001752,5
170,21.021935,4416,2024-01-25 13:14:35,52.262375,4
134,21.022787,4417,2024-01-25 13:14:35,52.292461,1
134,20.96822,4418,2024-01-25 13:14:32,52.271843,2
169,21.035093,4419,2024-01-25 13:14:35,52.254753,2
169,21.0517771,4420,2024-01-25 13:14:35,52.2528942,3
134,21.033178,4422,2024-01-25 13:14:32,52.297528,3
156,21.004383,4426,2024-01-25 13:14:34,52.264324,06
N12,21.045203,4427,2024-01-25 11:40:00,52.264645,227
338,21.027245,4428,2024-01-25 13:14:32,52.259892,01
173,21.052969,4429,2024-01-25 13:14:35,52.250423,6
134,21.061697,4430,2024-01-25 13:14:35,52.361778,4
103,21.045288,4434,2024-01-25 11:48:36,52.264446,1
401,20.996601,5201,2024-01-25 10:07:00,52.18777,016
187,20.8968905,5202,2024-01-25 13:14:28,52.1960848,12
